Name,Key,Value
documentVersion,documentVersion,94b3a8a9-d613-4cec-9aad-5fbcc1046b43
domain,domain,19195a5a-6da0-11d0-afd3-00c04fd930c9
domainCAs,domainCAs,7bfdcb7a-4807-11d1-a9c3-0000f80367c1
domainCrossRef,domainCrossRef,b000ea7b-a086-11d0-afdd-00c04fd930c9
domainDNS,domainDNS,19195a5b-6da0-11d0-afd3-00c04fd930c9
domainID,domainID,963d2734-48be-11d1-a9c3-0000f80367c1
domainIdentifier,domainIdentifier,7f561278-5301-11d1-a9c5-0000f80367c1
domainPolicy,domainPolicy,bf967a99-0de6-11d0-a285-00aa003049e2
domainPolicyObject,domainPolicyObject,bf96795d-0de6-11d0-a285-00aa003049e2
domainPolicyReference,domainPolicyReference,80a67e2a-9f22-11d0-afdd-00c04fd930c9
domainRelatedObject,domainRelatedObject,8bfd2d3d-efda-4549-852c-f85e137aedc6
domainReplica,domainReplica,bf96795e-0de6-11d0-a285-00aa003049e2
domainWidePolicy,domainWidePolicy,80a67e29-9f22-11d0-afdd-00c04fd930c9
dowAttributeDecisionMakers,dowAttributeDecisionMakers,06564c17-7821-4761-9ced-6f5c05808d0a
dowAttributeOwner1,dowAttributeOwner1,7111e4e5-b82f-4c31-9ec2-e223b594ce73
drink,drink,1a1aa5b5-262e-4df6-af04-2cf6b0d80048
driverName,driverName,281416c5-1968-11d0-a28f-00aa003049e2
driverVersion,driverVersion,ba305f6e-47e3-11d0-a1a6-00c04fd930c9
dSA,dSA,3fdfee52-47f4-11d1-a9c3-0000f80367c1
dSASignature,dSASignature,167757bc-47f3-11d1-a9c3-0000f80367c1
dSCorePropagationData,dSCorePropagationData,d167aa4b-8b08-11d2-9939-0000f87a57d4
dSHeuristics,dSHeuristics,f0f8ff86-1191-11d0-a060-00aa006c33ed
dSUIAdminMaximum,dSUIAdminMaximum,ee8d0ae0-6f91-11d2-9905-0000f87a57d4
dSUIAdminNotification,dSUIAdminNotification,f6ea0a94-6f91-11d2-9905-0000f87a57d4
dSUISettings,dSUISettings,09b10f14-6f93-11d2-9905-0000f87a57d4
dSUIShellMaximum,dSUIShellMaximum,fcca766a-6f91-11d2-9905-0000f87a57d4
dynamicLDAPServer,dynamicLDAPServer,52458021-ca6a-11d0-afff-0000f80367c1
dynamicObject,dynamicObject,66d51249-3355-4c1f-b24e-81f252aca23b
eFSPolicy,eFSPolicy,8e4eb2ec-4712-11d0-a1a0-00c04fd930c9
employeeID,employeeID,bf967962-0de6-11d0-a285-00aa003049e2
employeeNumber,employeeNumber,a8df73ef-c5ea-11d1-bbcb-0080c76670c0
employeeType,employeeType,a8df73f0-c5ea-11d1-bbcb-0080c76670c0
Enabled,Enabled,a8df73f2-c5ea-11d1-bbcb-0080c76670c0
enabledConnection,enabledConnection,bf967963-0de6-11d0-a285-00aa003049e2
enrollmentProviders,enrollmentProviders,2a39c5b3-8960-11d1-aebc-0000f80367c1
entryTTL,entryTTL,d213decc-d81a-4384-aac2-dcfcfd631cf8
extendedAttributeInfo,extendedAttributeInfo,9a7ad947-ca53-11d1-bbd0-0080c76670c0
extendedCharsAllowed,extendedCharsAllowed,bf967966-0de6-11d0-a285-00aa003049e2
extendedClassInfo,extendedClassInfo,9a7ad948-ca53-11d1-bbd0-0080c76670c0
extensionName,extensionName,bf967972-0de6-11d0-a285-00aa003049e2
extraColumns,extraColumns,d24e2846-1dd9-4bcf-99d7-a6227cc86da7
facsimileTelephoneNumber,facsimileTelephoneNumber,bf967974-0de6-11d0-a285-00aa003049e2
fileExtPriority,fileExtPriority,d9e18315-8939-11d1-aebc-0000f80367c1
fileLinkTracking,fileLinkTracking,dd712229-10e4-11d0-a05f-00aa006c33ed
fileLinkTrackingEntry,fileLinkTrackingEntry,8e4eb2ed-4712-11d0-a1a0-00c04fd930c9
flags,flags,bf967976-0de6-11d0-a285-00aa003049e2
flatName,flatName,b7b13117-b82e-11d0-afee-0000f80367c1
forceLogoff,forceLogoff,bf967977-0de6-11d0-a285-00aa003049e2
foreignIdentifier,foreignIdentifier,3e97891e-8c01-11d0-afda-00c04fd930c9
foreignSecurityPrincipal,foreignSecurityPrincipal,89e31c12-8530-11d0-afda-00c04fd930c9
friendlyCountry,friendlyCountry,c498f152-dc6b-474a-9f52-7cdba3d7d351
friendlyNames,friendlyNames,7bfdcb88-4807-11d1-a9c3-0000f80367c1
fromEntry,fromEntry,9a7ad949-ca53-11d1-bbd0-0080c76670c0
fromServer,fromServer,bf967979-0de6-11d0-a285-00aa003049e2
frsComputerReference,frsComputerReference,2a132578-9373-11d1-aebc-0000f80367c1
frsComputerReferenceBL,frsComputerReferenceBL,2a132579-9373-11d1-aebc-0000f80367c1
fRSControlDataCreation,fRSControlDataCreation,2a13257a-9373-11d1-aebc-0000f80367c1
fRSControlInboundBacklog,fRSControlInboundBacklog,2a13257b-9373-11d1-aebc-0000f80367c1
fRSControlOutboundBacklog,fRSControlOutboundBacklog,2a13257c-9373-11d1-aebc-0000f80367c1
fRSDirectoryFilter,fRSDirectoryFilter,1be8f171-a9ff-11d0-afe2-00c04fd930c9
fRSDSPoll,fRSDSPoll,1be8f177-a9ff-11d0-afe2-00c04fd930c9
fRSExtensions,fRSExtensions,52458020-ca6a-11d0-afff-0000f80367c1
fRSFaultCondition,fRSFaultCondition,1be8f178-a9ff-11d0-afe2-00c04fd930c9
fRSFileFilter,fRSFileFilter,1be8f170-a9ff-11d0-afe2-00c04fd930c9
fRSFlags,fRSFlags,2a13257d-9373-11d1-aebc-0000f80367c1
fRSLevelLimit,fRSLevelLimit,5245801e-ca6a-11d0-afff-0000f80367c1
fRSMemberReference,fRSMemberReference,2a13257e-9373-11d1-aebc-0000f80367c1
fRSMemberReferenceBL,fRSMemberReferenceBL,2a13257f-9373-11d1-aebc-0000f80367c1
fRSPartnerAuthLevel,fRSPartnerAuthLevel,2a132580-9373-11d1-aebc-0000f80367c1
fRSPrimaryMember,fRSPrimaryMember,2a132581-9373-11d1-aebc-0000f80367c1
fRSReplicaSetGUID,fRSReplicaSetGUID,5245801a-ca6a-11d0-afff-0000f80367c1
fRSReplicaSetType,fRSReplicaSetType,26d9736b-6070-11d1-a9c6-0000f80367c1
fRSRootPath,fRSRootPath,1be8f174-a9ff-11d0-afe2-00c04fd930c9
fRSRootSecurity,fRSRootSecurity,5245801f-ca6a-11d0-afff-0000f80367c1
fRSServiceCommand,fRSServiceCommand,ddac0cee-af8f-11d0-afeb-00c04fd930c9
fRSServiceCommandStatus,fRSServiceCommandStatus,2a132582-9373-11d1-aebc-0000f80367c1
fRSStagingPath,fRSStagingPath,1be8f175-a9ff-11d0-afe2-00c04fd930c9
fRSTimeLastCommand,fRSTimeLastCommand,2a132583-9373-11d1-aebc-0000f80367c1
fRSTimeLastConfigChange,fRSTimeLastConfigChange,2a132584-9373-11d1-aebc-0000f80367c1
fRSUpdateTimeout,fRSUpdateTimeout,1be8f172-a9ff-11d0-afe2-00c04fd930c9
fRSVersion,fRSVersion,2a132585-9373-11d1-aebc-0000f80367c1
fRSVersionGUID,fRSVersionGUID,26d9736c-6070-11d1-a9c6-0000f80367c1
fRSWorkingPath,fRSWorkingPath,1be8f173-a9ff-11d0-afe2-00c04fd930c9
fSMORoleOwner,fSMORoleOwner,66171887-8f3c-11d0-afda-00c04fd930c9
